Skip to content
logpai
loghub
Repository navigation
Code
Issues
2
 (2)
Pull requests
Discussions
Actions
Wiki
Security
Insights
loghub/Apache
/Apache_2k.log_structured.csv
Go to file
t
zhujiem
zhujiem
Add log templates
374038f
 · 
3 years ago

Preview

Code

Blame
Search this file
LineId	Time	Level	Content	EventId	EventTemplate
63	Sun Dec 04 04:56:52 2005	notice	jk2_init() Found child 8533 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
64	Sun Dec 04 04:56:57 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
65	Sun Dec 04 04:56:57 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
66	Sun Dec 04 04:56:59 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
67	Sun Dec 04 04:57:00 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
68	Sun Dec 04 04:57:20 2005	notice	jk2_init() Found child 8536 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
69	Sun Dec 04 04:57:20 2005	notice	jk2_init() Found child 8539 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
70	Sun Dec 04 04:57:24 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
71	Sun Dec 04 04:57:24 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
72	Sun Dec 04 04:57:24 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
73	Sun Dec 04 04:57:24 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
74	Sun Dec 04 04:57:49 2005	notice	jk2_init() Found child 8541 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
75	Sun Dec 04 04:58:11 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
76	Sun Dec 04 04:58:18 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
77	Sun Dec 04 04:58:45 2005	notice	jk2_init() Found child 8547 in scoreboard slot 10	E1	jk2_init() Found child <*> in scoreboard slot <*>
78	Sun Dec 04 04:58:57 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
79	Sun Dec 04 04:58:58 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
80	Sun Dec 04 04:59:28 2005	notice	jk2_init() Found child 8554 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
81	Sun Dec 04 04:59:27 2005	notice	jk2_init() Found child 8553 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
82	Sun Dec 04 04:59:35 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
83	Sun Dec 04 04:59:35 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
84	Sun Dec 04 04:59:38 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
85	Sun Dec 04 04:59:38 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
86	Sun Dec 04 05:00:03 2005	notice	jk2_init() Found child 8560 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
87	Sun Dec 04 05:00:09 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
88	Sun Dec 04 05:00:09 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
89	Sun Dec 04 05:00:13 2005	notice	jk2_init() Found child 8565 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
90	Sun Dec 04 05:00:13 2005	notice	jk2_init() Found child 8573 in scoreboard slot 10	E1	jk2_init() Found child <*> in scoreboard slot <*>
91	Sun Dec 04 05:00:15 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
92	Sun Dec 04 05:00:15 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
93	Sun Dec 04 05:00:15 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
94	Sun Dec 04 05:00:15 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
95	Sun Dec 04 05:01:20 2005	notice	jk2_init() Found child 8584 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
96	Sun Dec 04 05:01:20 2005	notice	jk2_init() Found child 8587 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
97	Sun Dec 04 05:02:14 2005	notice	jk2_init() Found child 8603 in scoreboard slot 10	E1	jk2_init() Found child <*> in scoreboard slot <*>
98	Sun Dec 04 05:02:14 2005	notice	jk2_init() Found child 8605 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
99	Sun Dec 04 05:04:03 2005	notice	jk2_init() Found child 8764 in scoreboard slot 10	E1	jk2_init() Found child <*> in scoreboard slot <*>
100	Sun Dec 04 05:04:03 2005	notice	jk2_init() Found child 8765 in scoreboard slot 11	E1	jk2_init() Found child <*> in scoreboard slot <*>
101	Sun Dec 04 05:04:03 2005	notice	jk2_init() Found child 8763 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
102	Sun Dec 04 05:04:03 2005	notice	jk2_init() Found child 8744 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
103	Sun Dec 04 05:04:03 2005	notice	jk2_init() Found child 8743 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
104	Sun Dec 04 05:04:03 2005	notice	jk2_init() Found child 8738 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
105	Sun Dec 04 05:04:03 2005	notice	jk2_init() Found child 8766 in scoreboard slot 12	E1	jk2_init() Found child <*> in scoreboard slot <*>
106	Sun Dec 04 05:04:04 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
107	Sun Dec 04 05:04:04 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
108	Sun Dec 04 05:04:04 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
109	Sun Dec 04 05:04:04 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
110	Sun Dec 04 05:04:04 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
111	Sun Dec 04 05:04:04 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
112	Sun Dec 04 05:04:04 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
113	Sun Dec 04 05:04:04 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
114	Sun Dec 04 05:04:04 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
115	Sun Dec 04 05:04:04 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
116	Sun Dec 04 05:04:04 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
117	Sun Dec 04 05:04:04 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
118	Sun Dec 04 05:04:04 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
119	Sun Dec 04 05:04:04 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
120	Sun Dec 04 05:11:51 2005	notice	jk2_init() Found child 25792 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
121	Sun Dec 04 05:12:07 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
122	Sun Dec 04 05:12:10 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
123	Sun Dec 04 05:12:26 2005	notice	jk2_init() Found child 25798 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
124	Sun Dec 04 05:12:26 2005	notice	jk2_init() Found child 25803 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
125	Sun Dec 04 05:12:28 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
126	Sun Dec 04 05:12:28 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
127	Sun Dec 04 05:12:28 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
128	Sun Dec 04 05:12:28 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
129	Sun Dec 04 05:12:30 2005	notice	jk2_init() Found child 25805 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
130	Sun Dec 04 05:12:30 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
131	Sun Dec 04 05:12:30 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
132	Sun Dec 04 05:15:09 2005	error	[client 222.166.160.184] Directory index forbidden by rule: /var/www/html/	E4	[client <*>] Directory index forbidden by rule: <*>
133	Sun Dec 04 05:15:13 2005	notice	jk2_init() Found child 1000 in scoreboard slot 10	E1	jk2_init() Found child <*> in scoreboard slot <*>
134	Sun Dec 04 05:15:16 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
135	Sun Dec 04 05:15:16 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
136	Sun Dec 04 06:01:00 2005	notice	jk2_init() Found child 32347 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
137	Sun Dec 04 06:01:00 2005	notice	jk2_init() Found child 32348 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
138	Sun Dec 04 06:01:21 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
139	Sun Dec 04 06:01:21 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
140	Sun Dec 04 06:01:30 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
141	Sun Dec 04 06:01:42 2005	notice	jk2_init() Found child 32352 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
142	Sun Dec 04 06:01:42 2005	notice	jk2_init() Found child 32353 in scoreboard slot 10	E1	jk2_init() Found child <*> in scoreboard slot <*>
143	Sun Dec 04 06:01:42 2005	notice	jk2_init() Found child 32354 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
144	Sun Dec 04 06:02:01 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
145	Sun Dec 04 06:02:02 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
146	Sun Dec 04 06:02:05 2005	notice	jk2_init() Found child 32359 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
147	Sun Dec 04 06:02:05 2005	notice	jk2_init() Found child 32360 in scoreboard slot 11	E1	jk2_init() Found child <*> in scoreboard slot <*>
148	Sun Dec 04 06:02:05 2005	notice	jk2_init() Found child 32358 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
149	Sun Dec 04 06:02:05 2005	notice	jk2_init() Found child 32355 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
150	Sun Dec 04 06:02:07 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
151	Sun Dec 04 06:02:07 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
152	Sun Dec 04 06:02:07 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
153	Sun Dec 04 06:02:07 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
154	Sun Dec 04 06:02:07 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
155	Sun Dec 04 06:02:07 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
156	Sun Dec 04 06:02:07 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
157	Sun Dec 04 06:02:07 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
158	Sun Dec 04 06:06:00 2005	notice	jk2_init() Found child 32388 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
159	Sun Dec 04 06:06:00 2005	notice	jk2_init() Found child 32387 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
160	Sun Dec 04 06:06:00 2005	notice	jk2_init() Found child 32386 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
161	Sun Dec 04 06:06:10 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
162	Sun Dec 04 06:06:11 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
163	Sun Dec 04 06:06:12 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
164	Sun Dec 04 06:06:12 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
165	Sun Dec 04 06:06:20 2005	notice	jk2_init() Found child 32389 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
166	Sun Dec 04 06:06:24 2005	notice	jk2_init() Found child 32391 in scoreboard slot 10	E1	jk2_init() Found child <*> in scoreboard slot <*>
167	Sun Dec 04 06:06:24 2005	notice	jk2_init() Found child 32390 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
168	Sun Dec 04 06:06:24 2005	notice	jk2_init() Found child 32392 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
169	Sun Dec 04 06:06:26 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
170	Sun Dec 04 06:06:26 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
171	Sun Dec 04 06:06:26 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
172	Sun Dec 04 06:06:26 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
173	Sun Dec 04 06:06:26 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
174	Sun Dec 04 06:06:26 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
175	Sun Dec 04 06:06:26 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
176	Sun Dec 04 06:06:26 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
177	Sun Dec 04 06:11:11 2005	notice	jk2_init() Found child 32410 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
178	Sun Dec 04 06:11:11 2005	notice	jk2_init() Found child 32411 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
179	Sun Dec 04 06:12:31 2005	notice	jk2_init() Found child 32423 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
180	Sun Dec 04 06:12:31 2005	notice	jk2_init() Found child 32422 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
181	Sun Dec 04 06:12:31 2005	notice	jk2_init() Found child 32419 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
182	Sun Dec 04 06:12:31 2005	notice	jk2_init() Found child 32421 in scoreboard slot 11	E1	jk2_init() Found child <*> in scoreboard slot <*>
183	Sun Dec 04 06:12:31 2005	notice	jk2_init() Found child 32420 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
184	Sun Dec 04 06:12:31 2005	notice	jk2_init() Found child 32424 in scoreboard slot 10	E1	jk2_init() Found child <*> in scoreboard slot <*>
185	Sun Dec 04 06:12:37 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
186	Sun Dec 04 06:12:37 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
187	Sun Dec 04 06:12:37 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
188	Sun Dec 04 06:12:37 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
189	Sun Dec 04 06:12:37 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
190	Sun Dec 04 06:12:40 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
191	Sun Dec 04 06:12:40 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
192	Sun Dec 04 06:12:40 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
193	Sun Dec 04 06:12:40 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
194	Sun Dec 04 06:12:40 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
195	Sun Dec 04 06:12:59 2005	notice	jk2_init() Found child 32425 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
196	Sun Dec 04 06:13:01 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
197	Sun Dec 04 06:13:01 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
198	Sun Dec 04 06:16:10 2005	notice	jk2_init() Found child 32432 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
199	Sun Dec 04 06:16:10 2005	notice	jk2_init() Found child 32434 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
200	Sun Dec 04 06:16:10 2005	notice	jk2_init() Found child 32433 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
